Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total_tax,Total_profit_before_tax,Total_sales
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415,26.1415,522.83,496.6885
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82,3.82,76.4,72.58
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652,20.652,413.04,392.388
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78,36.78,735.6,698.82
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626,3.626,72.52,68.894
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226,8.226,164.52,156.294
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896,2.896,57.92,55.024
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375,11.7375,234.75,223.0125
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69,35.69,713.8,678.11
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116,28.116,562.32,534.204
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,241.255,24.1255,482.51,458.3845
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03,4.03,80.6,76.57
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036,21.036,420.72,399.684
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767,8.767,175.34,166.573
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09,22.09,441.8,419.71
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884,19.884,397.68,377.796
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406,3.406,68.12,64.714
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396,27.396,547.92,520.524
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968,21.968,439.36,417.392
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336,4.336,86.72,82.384
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736,20.736,414.72,393.984
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48,39.48,789.6,750.12
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792,18.792,375.84,357.048
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945,9.0045,180.09,171.0855
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315,41.315,826.3,784.985
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475,11.1475,222.95,211.8025
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574,3.574,71.48,67.906
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392,34.392,687.84,653.448
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175,36.175,723.5,687.325
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711,3.711,74.22,70.509
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,247.815,24.7815,495.63,470.8485
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347,3.347,66.94,63.593
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283,29.283,585.66,556.377
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,9.165,0.9165,18.33,17.4135
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278,7.278,145.56,138.282
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773,22.773,455.46,432.687
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825,20.825,416.5,395.675
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.1945,9.0045,180.09,171.0855
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155,39.155,783.1,743.945
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5.095,5.095,101.9,96.805
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,29.757,29.757,595.14,565.383
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,14.502,14.502,290.04,275.538
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,16.072,16.072,321.44,305.368
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,29.071,29.071,581.42,552.349
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,23.097,23.097,461.94,438.843
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4,9.476,9.476,189.52,180.044
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,22.43,22.43,448.6,426.17
Female,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7,7.693,7.693,153.86,146.167
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,3.735,3.735,74.7,70.965
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,10.3815,10.3815,207.63,197.2485
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,15.291,15.291,305.82,290.529
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2,1.649,1.649,32.98,31.331
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3,147.315,14.7315,294.63,279.8985
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,25.494,25.494,509.88,484.386
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9,363.555,36.3555,727.11,690.7545
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,4.053,4.053,81.06,77.007
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,5.48,5.48,109.6,104.12
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,39.824,39.824,796.48,756.656
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8,22.588,22.588,451.76,429.172
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,327.915,32.7915,655.83,623.0385
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,8.0625,8.0625,161.25,153.1875
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,142.785,14.2785,285.57,271.2915
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8,27.416,27.416,548.32,520.904
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,40.626,40.626,812.52,771.894
Female,191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7,13.867,13.867,277.34,263.473
Female,802-70-5316,A,Yangon,Member,Sports and travel,92.13,6,27.639,27.639,552.78,525.141
Female,695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4,6.968,6.968,139.36,132.392
Female,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6,24.39,24.39,487.8,463.41
Female,700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5,6.5775,6.5775,131.55,124.9725
Female,354-39-5160,A,Yangon,Member,Home and lifestyle,34.42,6,10.326,10.326,206.52,196.194
Female,731-81-9469,C,Naypyitaw,Member,Sports and travel,89.8,10,44.9,44.9,898,853.1
Female,338-65-2210,C,Naypyitaw,Member,Health and beauty,68.6,10,34.3,34.3,686,651.7
Female,488-25-4221,C,Naypyitaw,Member,Food and beverages,30.41,1,1.5205,1.5205,30.41,28.8895
Female,239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6,23.385,23.385,467.7,444.315
Female,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6,13.878,13.878,277.56,263.682
Female,685-64-1609,A,Yangon,Member,Fashion accessories,30.14,10,15.07,15.07,301.4,286.33
Female,608-96-3517,B,Mandalay,Member,Fashion accessories,91.54,4,18.308,18.308,366.16,347.852
